3. FormTrackingNumber:,4. Organization Name and Address:,Work Order/Contract/Invoice Number,Item,Description,Part Number,Quantity,Serial Number,Status/Work:,Remarks,Authorized Signature,Approval/Authorization No.:,Authorized Signature:,Approval/Certificate No.:,Name (Typed or Printed):,Date (dd/mmm/yyyy):,Name (Typed or Printed):,Date (dd/mmm/yyyy):
1317000168,,1,1,1,1,1,1,1,1,,,,,,,,
1317000172,2,2,2,2,2,2,2,2,2,,,,,,,,
1317000176,3,3,3,3,3,3,3,3,3,,,,,,,,
1317000180,4,4,4,4,4,4,4,4,4,,,,,,,,
1317000184,5,5,5,5,5,5,5,5,5,,,,,,,,
1317000188,6,6,6,6,6,6,6,6,6,,,,,,,,
1317000192,7,7,7,7,7,7,7,7,7,,,,,,,,
1317000196,8,8,8,8,8,8,8,8,8,,,,,,,,
1317000200,9,9,9,9,9,9,9,9,9,,,,,,,,
1317000204,10,10,10,10,10,10,10,10,10,,,,,,,,
1317000208,,,,,,,,,,,,,,,,,
1317000212,,,,,,,,,,,,,,,,,
1317000216,,,,,,,,,,,,,,,,,
1317000220,,,,,,,,,,,,,,,,,
1317000224,,,,,,,,,,,,,,,,,
1317000228,,,,,,,,,,,,,,,,,
1317000232,,,,,,,,,,,,,,,,,
1317000236,,,,,,,,,,,,,,,,,
1317000240,,,,,,,,,,,,,,,,,
1317000244,,,,,,,,,,,,,,,,,
1317000248,,,,,,,,,,,,,,,,,
1317000252,,,,,,,,,,,,,,,,,
1317000256,,,,,,,,,,,,,,,,,
1317000260,,,,,,,,,,,,,,,,,
1317000264,,,,,,,,,,,,,,,,,
1317000268,,,,,,,,,,,,,,,,,
1317000272,,,,,,,,,,,,,,,,,
1317000276,,,,,,,,,,,,,,,,,
1317000280,,,,,,,,,,,,,,,,,
1317000284,,,,,,,,,,,,,,,,,
1317000288,,,,,,,,,,,,,,,,,
1317000292,,,,,,,,,,,,,,,,,
1317000296,,,,,,,,,,,,,,,,,
1317000300,,,,,,,,,,,,,,,,,
1317000304,,,,,,,,,,,,,,,,,
1317000308,,,,,,,,,,,,,,,,,
1317000312,,,,,,,,,,,,,,,,,
1317000316,,,,,,,,,,,,,,,,,
1317000320,,,,,,,,,,,,,,,,,
1317000324,,,,,,,,,,,,,,,,,
1317000328,,,,,,,,,,,,,,,,,
1317000332,,,,,,,,,,,,,,,,,
1317000336,,,,,,,,,,,,,,,,,
1317000340,,,,,,,,,,,,,,,,,
1317000344,,,,,,,,,,,,,,,,,
1317000348,,,,,,,,,,,,,,,,,
1317000352,,,,,,,,,,,,,,,,,
1317000356,,,,,,,,,,,,,,,,,
1317000360,,,,,,,,,,,,,,,,,
1317000364,,,,,,,,,,,,,,,,,
1317000368,,,,,,,,,,,,,,,,,
1317000372,,,,,,,,,,,,,,,,,
1317000376,,,,,,,,,,,,,,,,,
1317000380,,,,,,,,,,,,,,,,,
1317000384,,,,,,,,,,,,,,,,,
1317000388,,,,,,,,,,,,,,,,,
1317000392,,,,,,,,,,,,,,,,,
1317000396,,,,,,,,,,,,,,,,,
1317000400,,,,,,,,,,,,,,,,,
1317000404,,,,,,,,,,,,,,,,,
1317000408,,,,,,,,,,,,,,,,,
1317000412,,,,,,,,,,,,,,,,,
1317000416,,,,,,,,,,,,,,,,,
1317000420,,,,,,,,,,,,,,,,,
1317000424,,,,,,,,,,,,,,,,,
1317000428,,,,,,,,,,,,,,,,,
1317000432,,,,,,,,,,,,,,,,,
1317000436,,,,,,,,,,,,,,,,,
1317000440,,,,,,,,,,,,,,,,,
1317000444,,,,,,,,,,,,,,,,,
1317000448,,,,,,,,,,,,,,,,,
1317000452,,,,,,,,,,,,,,,,,
1317000456,,,,,,,,,,,,,,,,,
1317000460,,,,,,,,,,,,,,,,,
1317000464,,,,,,,,,,,,,,,,,
1317000468,,,,,,,,,,,,,,,,,
1317000472,,,,,,,,,,,,,,,,,
1317000476,,,,,,,,,,,,,,,,,
1317000480,,,,,,,,,,,,,,,,,
1317000484,,,,,,,,,,,,,,,,,
1317000488,,,,,,,,,,,,,,,,,
1317000492,,,,,,,,,,,,,,,,,
1317000496,,,,,,,,,,,,,,,,,
1317000500,,,,,,,,,,,,,,,,,
1317000504,,,,,,,,,,,,,,,,,
1317000508,,,,,,,,,,,,,,,,,
1317000512,,,,,,,,,,,,,,,,,
1317000516,,,,,,,,,,,,,,,,,
1317000520,,,,,,,,,,,,,,,,,
1317000524,,,,,,,,,,,,,,,,,
1317000528,,,,,,,,,,,,,,,,,
1317000532,,,,,,,,,,,,,,,,,
1317000536,,,,,,,,,,,,,,,,,
1317000540,,,,,,,,,,,,,,,,,
1317000544,,,,,,,,,,,,,,,,,
1317000548,,,,,,,,,,,,,,,,,
1317000552,,,,,,,,,,,,,,,,,
1317000556,,,,,,,,,,,,,,,,,
1317000560,,,,,,,,,,,,,,,,,
1317000564,,,,,,,,,,,,,,,,,
1317000568,,,,,,,,,,,,,,,,,
1317000572,,,,,,,,,,,,,,,,,
1317000576,,,,,,,,,,,,,,,,,
1317000580,,,,,,,,,,,,,,,,,
1317000584,,,,,,,,,,,,,,,,,
1317000588,,,,,,,,,,,,,,,,,
1317000592,,,,,,,,,,,,,,,,,
1317000596,,,,,,,,,,,,,,,,,
1317000600,,,,,,,,,,,,,,,,,
1317000604,,,,,,,,,,,,,,,,,
1317000608,,,,,,,,,,,,,,,,,
1317000612,,,,,,,,,,,,,,,,,
1317000616,,,,,,,,,,,,,,,,,
1317000620,,,,,,,,,,,,,,,,,
1317000624,,,,,,,,,,,,,,,,,
1317000628,,,,,,,,,,,,,,,,,
1317000632,,,,,,,,,,,,,,,,,
1317000636,,,,,,,,,,,,,,,,,
1317000640,,,,,,,,,,,,,,,,,
1317000644,,,,,,,,,,,,,,,,,
1317000648,,,,,,,,,,,,,,,,,
1317000652,,,,,,,,,,,,,,,,,
1317000656,,,,,,,,,,,,,,,,,
1317000660,,,,,,,,,,,,,,,,,
1317000664,,,,,,,,,,,,,,,,,
1317000668,,,,,,,,,,,,,,,,,
1317000672,,,,,,,,,,,,,,,,,
1317000676,,,,,,,,,,,,,,,,,
1317000680,,,,,,,,,,,,,,,,,
1317000684,,,,,,,,,,,,,,,,,
1317000688,,,,,,,,,,,,,,,,,
1317000692,,,,,,,,,,,,,,,,,
1317000696,,,,,,,,,,,,,,,,,
1317000700,,,,,,,,,,,,,,,,,
1317000704,,,,,,,,,,,,,,,,,
1317000708,,,,,,,,,,,,,,,,,
1317000712,,,,,,,,,,,,,,,,,
1317000716,,,,,,,,,,,,,,,,,
1317000720,,,,,,,,,,,,,,,,,
1317000724,,,,,,,,,,,,,,,,,
1317000728,,,,,,,,,,,,,,,,,
1317000732,,,,,,,,,,,,,,,,,
1317000736,,,,,,,,,,,,,,,,,
1317000740,,,,,,,,,,,,,,,,,
1317000744,,,,,,,,,,,,,,,,,
1317000748,,,,,,,,,,,,,,,,,
1317000752,,,,,,,,,,,,,,,,,
1317000756,,,,,,,,,,,,,,,,,
1317000760,,,,,,,,,,,,,,,,,
1317000764,,,,,,,,,,,,,,,,,
1317000768,,,,,,,,,,,,,,,,,
1317000772,,,,,,,,,,,,,,,,,
1317000776,,,,,,,,,,,,,,,,,
1317000780,,,,,,,,,,,,,,,,,
1317000784,,,,,,,,,,,,,,,,,
1317000788,,,,,,,,,,,,,,,,,
1317000792,,,,,,,,,,,,,,,,,
1317000796,,,,,,,,,,,,,,,,,
1317000800,,,,,,,,,,,,,,,,,
1317000804,,,,,,,,,,,,,,,,,
1317000808,,,,,,,,,,,,,,,,,
1317000812,,,,,,,,,,,,,,,,,
1317000816,,,,,,,,,,,,,,,,,
1317000820,,,,,,,,,,,,,,,,,
1317000824,,,,,,,,,,,,,,,,,
1317000828,,,,,,,,,,,,,,,,,
1317000832,,,,,,,,,,,,,,,,,
1317000836,,,,,,,,,,,,,,,,,
1317000840,,,,,,,,,,,,,,,,,
1317000844,,,,,,,,,,,,,,,,,
1317000848,,,,,,,,,,,,,,,,,
1317000852,,,,,,,,,,,,,,,,,
1317000856,,,,,,,,,,,,,,,,,
1317000860,,,,,,,,,,,,,,,,,
1317000864,,,,,,,,,,,,,,,,,
1317000868,,,,,,,,,,,,,,,,,
1317000872,,,,,,,,,,,,,,,,,
1317000876,,,,,,,,,,,,,,,,,
1317000880,,,,,,,,,,,,,,,,,
1317000884,,,,,,,,,,,,,,,,,
1317000888,,,,,,,,,,,,,,,,,
1317000892,,,,,,,,,,,,,,,,,
1317000896,,,,,,,,,,,,,,,,,
1317000900,,,,,,,,,,,,,,,,,
1317000904,,,,,,,,,,,,,,,,,
1317000908,,,,,,,,,,,,,,,,,
1317000912,,,,,,,,,,,,,,,,,
1317000916,,,,,,,,,,,,,,,,,
1317000920,,,,,,,,,,,,,,,,,
1317000924,,,,,,,,,,,,,,,,,
1317000928,,,,,,,,,,,,,,,,,
1317000932,,,,,,,,,,,,,,,,,
1317000936,,,,,,,,,,,,,,,,,
1317000940,,,,,,,,,,,,,,,,,
1317000944,,,,,,,,,,,,,,,,,
1317000948,,,,,,,,,,,,,,,,,
1317000952,,,,,,,,,,,,,,,,,
1317000956,,,,,,,,,,,,,,,,,
1317000960,,,,,,,,,,,,,,,,,
1317000964,,,,,,,,,,,,,,,,,
1317000968,,,,,,,,,,,,,,,,,
1317000972,,,,,,,,,,,,,,,,,
1317000976,,,,,,,,,,,,,,,,,
1317000980,,,,,,,,,,,,,,,,,
1317000984,,,,,,,,,,,,,,,,,
1317000988,,,,,,,,,,,,,,,,,
1317000992,,,,,,,,,,,,,,,,,
1317000996,,,,,,,,,,,,,,,,,
1317001000,,,,,,,,,,,,,,,,,
1317001004,,,,,,,,,,,,,,,,,
1317001008,,,,,,,,,,,,,,,,,
1317001012,,,,,,,,,,,,,,,,,
1317001016,,,,,,,,,,,,,,,,,
1317001020,,,,,,,,,,,,,,,,,
1317001024,,,,,,,,,,,,,,,,,
1317001028,,,,,,,,,,,,,,,,,
1317001032,,,,,,,,,,,,,,,,,
1317001036,,,,,,,,,,,,,,,,,
1317001040,,,,,,,,,,,,,,,,,
1317001044,,,,,,,,,,,,,,,,,
1317001048,,,,,,,,,,,,,,,,,
1317001052,,,,,,,,,,,,,,,,,
1317001056,,,,,,,,,,,,,,,,,
1317001060,,,,,,,,,,,,,,,,,
1317001064,,,,,,,,,,,,,,,,,
1317001068,,,,,,,,,,,,,,,,,
1317001072,,,,,,,,,,,,,,,,,
1317001076,,,,,,,,,,,,,,,,,
1317001080,,,,,,,,,,,,,,,,,
1317001084,,,,,,,,,,,,,,,,,
1317001088,,,,,,,,,,,,,,,,,
1317001092,,,,,,,,,,,,,,,,,
1317001096,,,,,,,,,,,,,,,,,
1317001100,,,,,,,,,,,,,,,,,
1317001104,,,,,,,,,,,,,,,,,
1317001108,,,,,,,,,,,,,,,,,
1317001112,,,,,,,,,,,,,,,,,
1317001116,,,,,,,,,,,,,,,,,
1317001120,,,,,,,,,,,,,,,,,
1317001124,,,,,,,,,,,,,,,,,
1317001128,,,,,,,,,,,,,,,,,
1317001132,,,,,,,,,,,,,,,,,
1317001136,,,,,,,,,,,,,,,,,
1317001140,,,,,,,,,,,,,,,,,
1317001144,,,,,,,,,,,,,,,,,
1317001148,,,,,,,,,,,,,,,,,
1317001152,,,,,,,,,,,,,,,,,
1317001156,,,,,,,,,,,,,,,,,
1317001160,,,,,,,,,,,,,,,,,
1317001164,,,,,,,,,,,,,,,,,
1317001168,,,,,,,,,,,,,,,,,
1317001172,,,,,,,,,,,,,,,,,
1317001176,,,,,,,,,,,,,,,,,
1317001180,,,,,,,,,,,,,,,,,
1317001184,,,,,,,,,,,,,,,,,
1317001188,,,,,,,,,,,,,,,,,
1317001192,,,,,,,,,,,,,,,,,
1317001196,,,,,,,,,,,,,,,,,
1317001200,,,,,,,,,,,,,,,,,
1317001204,,,,,,,,,,,,,,,,,
1317001208,,,,,,,,,,,,,,,,,
1317001212,,,,,,,,,,,,,,,,,
1317001216,,,,,,,,,,,,,,,,,
1317001220,,,,,,,,,,,,,,,,,
1317001224,,,,,,,,,,,,,,,,,
1317001228,,,,,,,,,,,,,,,,,
1317001232,,,,,,,,,,,,,,,,,
1317001236,,,,,,,,,,,,,,,,,
1317001240,,,,,,,,,,,,,,,,,
1317001244,,,,,,,,,,,,,,,,,
1317001248,,,,,,,,,,,,,,,,,
1317001252,,,,,,,,,,,,,,,,,
1317001256,,,,,,,,,,,,,,,,,
1317001260,,,,,,,,,,,,,,,,,
1317001264,,,,,,,,,,,,,,,,,
1317001268,,,,,,,,,,,,,,,,,
1317001272,,,,,,,,,,,,,,,,,
1317001276,,,,,,,,,,,,,,,,,
1317001280,,,,,,,,,,,,,,,,,
1317001284,,,,,,,,,,,,,,,,,
1317001288,,,,,,,,,,,,,,,,,
1317001292,,,,,,,,,,,,,,,,,
1317001296,,,,,,,,,,,,,,,,,
1317001300,,,,,,,,,,,,,,,,,
1317001304,,,,,,,,,,,,,,,,,
1317001308,,,,,,,,,,,,,,,,,
1317001312,,,,,,,,,,,,,,,,,
1317001316,,,,,,,,,,,,,,,,,
1317001320,,,,,,,,,,,,,,,,,
1317001324,,,,,,,,,,,,,,,,,
1317001328,,,,,,,,,,,,,,,,,
1317001332,,,,,,,,,,,,,,,,,
1317001336,,,,,,,,,,,,,,,,,
1317001340,,,,,,,,,,,,,,,,,
1317001344,,,,,,,,,,,,,,,,,
1317001348,,,,,,,,,,,,,,,,,
1317001352,,,,,,,,,,,,,,,,,
1317001356,,,,,,,,,,,,,,,,,
1317001360,,,,,,,,,,,,,,,,,
1317001364,,,,,,,,,,,,,,,,,
1317001368,,,,,,,,,,,,,,,,,
1317001372,,,,,,,,,,,,,,,,,
1317001376,,,,,,,,,,,,,,,,,
1317001380,,,,,,,,,,,,,,,,,
1317001384,,,,,,,,,,,,,,,,,
1317001388,,,,,,,,,,,,,,,,,
1317001392,,,,,,,,,,,,,,,,,
1317001396,,,,,,,,,,,,,,,,,
1317001400,,,,,,,,,,,,,,,,,
1317001404,,,,,,,,,,,,,,,,,
1317001408,,,,,,,,,,,,,,,,,
1317001412,,,,,,,,,,,,,,,,,
1317001416,,,,,,,,,,,,,,,,,
1317001420,,,,,,,,,,,,,,,,,
1317001424,,,,,,,,,,,,,,,,,
1317001428,,,,,,,,,,,,,,,,,
1317001432,,,,,,,,,,,,,,,,,
1317001436,,,,,,,,,,,,,,,,,
1317001440,,,,,,,,,,,,,,,,,
1317001444,,,,,,,,,,,,,,,,,
1317001448,,,,,,,,,,,,,,,,,
1317001452,,,,,,,,,,,,,,,,,
1317001456,,,,,,,,,,,,,,,,,
1317001460,,,,,,,,,,,,,,,,,
1317001464,,,,,,,,,,,,,,,,,
1317001468,,,,,,,,,,,,,,,,,
1317001472,,,,,,,,,,,,,,,,,
1317001476,,,,,,,,,,,,,,,,,
1317001480,,,,,,,,,,,,,,,,,
1317001484,,,,,,,,,,,,,,,,,
1317001488,,,,,,,,,,,,,,,,,
1317001492,,,,,,,,,,,,,,,,,
1317001496,,,,,,,,,,,,,,,,,
1317001500,,,,,,,,,,,,,,,,,
1317001504,,,,,,,,,,,,,,,,,
1317001508,,,,,,,,,,,,,,,,,
1317001512,,,,,,,,,,,,,,,,,
1317001516,,,,,,,,,,,,,,,,,
1317001520,,,,,,,,,,,,,,,,,
1317001524,,,,,,,,,,,,,,,,,
1317001528,,,,,,,,,,,,,,,,,
1317001532,,,,,,,,,,,,,,,,,
1317001536,,,,,,,,,,,,,,,,,
1317001540,,,,,,,,,,,,,,,,,
1317001544,,,,,,,,,,,,,,,,,
1317001548,,,,,,,,,,,,,,,,,
1317001552,,,,,,,,,,,,,,,,,
1317001556,,,,,,,,,,,,,,,,,
1317001560,,,,,,,,,,,,,,,,,
1317001564,,,,,,,,,,,,,,,,,
1317001568,,,,,,,,,,,,,,,,,
1317001572,,,,,,,,,,,,,,,,,
1317001576,,,,,,,,,,,,,,,,,
1317001580,,,,,,,,,,,,,,,,,
1317001584,,,,,,,,,,,,,,,,,
1317001588,,,,,,,,,,,,,,,,,
1317001592,,,,,,,,,,,,,,,,,
1317001596,,,,,,,,,,,,,,,,,
1317001600,,,,,,,,,,,,,,,,,
1317001604,,,,,,,,,,,,,,,,,
1317001608,,,,,,,,,,,,,,,,,
1317001612,,,,,,,,,,,,,,,,,
1317001616,,,,,,,,,,,,,,,,,
1317001620,,,,,,,,,,,,,,,,,
1317001624,,,,,,,,,,,,,,,,,
1317001628,,,,,,,,,,,,,,,,,
1317001632,,,,,,,,,,,,,,,,,
1317001636,,,,,,,,,,,,,,,,,
1317001640,,,,,,,,,,,,,,,,,
1317001644,,,,,,,,,,,,,,,,,
1317001648,,,,,,,,,,,,,,,,,
1317001652,,,,,,,,,,,,,,,,,
1317001656,,,,,,,,,,,,,,,,,
1317001660,,,,,,,,,,,,,,,,,
1317001664,,,,,,,,,,,,,,,,,
1317001668,,,,,,,,,,,,,,,,,
1317001672,,,,,,,,,,,,,,,,,
1317001676,,,,,,,,,,,,,,,,,
1317001680,,,,,,,,,,,,,,,,,
1317001684,,,,,,,,,,,,,,,,,
1317001688,,,,,,,,,,,,,,,,,
1317001692,,,,,,,,,,,,,,,,,
1317001696,,,,,,,,,,,,,,,,,
1317001700,,,,,,,,,,,,,,,,,
1317001704,,,,,,,,,,,,,,,,,
1317001708,,,,,,,,,,,,,,,,,
1317001712,,,,,,,,,,,,,,,,,
1317001716,,,,,,,,,,,,,,,,,
1317001720,,,,,,,,,,,,,,,,,
1317001724,,,,,,,,,,,,,,,,,
1317001728,,,,,,,,,,,,,,,,,
1317001732,,,,,,,,,,,,,,,,,
1317001736,,,,,,,,,,,,,,,,,
1317001740,,,,,,,,,,,,,,,,,
1317001744,,,,,,,,,,,,,,,,,
1317001748,,,,,,,,,,,,,,,,,
1317001752,,,,,,,,,,,,,,,,,
1317001756,,,,,,,,,,,,,,,,,
1317001760,,,,,,,,,,,,,,,,,
1317001764,,,,,,,,,,,,,,,,,
1317001768,,,,,,,,,,,,,,,,,
1317001772,,,,,,,,,,,,,,,,,
1317001776,,,,,,,,,,,,,,,,,
1317001780,,,,,,,,,,,,,,,,,
1317001784,,,,,,,,,,,,,,,,,
1317001788,,,,,,,,,,,,,,,,,
1317001792,,,,,,,,,,,,,,,,,
1317001796,,,,,,,,,,,,,,,,,
1317001800,,,,,,,,,,,,,,,,,
1317001804,,,,,,,,,,,,,,,,,
1317001808,,,,,,,,,,,,,,,,,
1317001812,,,,,,,,,,,,,,,,,
1317001816,,,,,,,,,,,,,,,,,
1317001820,,,,,,,,,,,,,,,,,
1317001824,,,,,,,,,,,,,,,,,
1317001828,,,,,,,,,,,,,,,,,
1317001832,,,,,,,,,,,,,,,,,
1317001836,,,,,,,,,,,,,,,,,
1317001840,,,,,,,,,,,,,,,,,
1317001844,,,,,,,,,,,,,,,,,
1317001848,,,,,,,,,,,,,,,,,
1317001852,,,,,,,,,,,,,,,,,
1317001856,,,,,,,,,,,,,,,,,
1317001860,,,,,,,,,,,,,,,,,
1317001864,,,,,,,,,,,,,,,,,
1317001868,,,,,,,,,,,,,,,,,
1317001872,,,,,,,,,,,,,,,,,
1317001876,,,,,,,,,,,,,,,,,
1317001880,,,,,,,,,,,,,,,,,
1317001884,,,,,,,,,,,,,,,,,
1317001888,,,,,,,,,,,,,,,,,
1317001892,,,,,,,,,,,,,,,,,
1317001896,,,,,,,,,,,,,,,,,
1317001900,,,,,,,,,,,,,,,,,
1317001904,,,,,,,,,,,,,,,,,
1317001908,,,,,,,,,,,,,,,,,
1317001912,,,,,,,,,,,,,,,,,
1317001916,,,,,,,,,,,,,,,,,
1317001920,,,,,,,,,,,,,,,,,
1317001924,,,,,,,,,,,,,,,,,
1317001928,,,,,,,,,,,,,,,,,
1317001932,,,,,,,,,,,,,,,,,
1317001936,,,,,,,,,,,,,,,,,
1317001940,,,,,,,,,,,,,,,,,
1317001944,,,,,,,,,,,,,,,,,
1317001948,,,,,,,,,,,,,,,,,
1317001952,,,,,,,,,,,,,,,,,
1317001956,,,,,,,,,,,,,,,,,
1317001960,,,,,,,,,,,,,,,,,
1317001964,,,,,,,,,,,,,,,,,
1317001968,,,,,,,,,,,,,,,,,
1317001972,,,,,,,,,,,,,,,,,
1317001976,,,,,,,,,,,,,,,,,
1317001980,,,,,,,,,,,,,,,,,
1317001984,,,,,,,,,,,,,,,,,
1317001988,,,,,,,,,,,,,,,,,
1317001992,,,,,,,,,,,,,,,,,
1317001996,,,,,,,,,,,,,,,,,
1317002000,,,,,,,,,,,,,,,,,
1317002004,,,,,,,,,,,,,,,,,
1317002008,,,,,,,,,,,,,,,,,
1317002012,,,,,,,,,,,,,,,,,
1317002016,,,,,,,,,,,,,,,,,
1317002020,,,,,,,,,,,,,,,,,
1317002024,,,,,,,,,,,,,,,,,
1317002028,,,,,,,,,,,,,,,,,
1317002032,,,,,,,,,,,,,,,,,
1317002036,,,,,,,,,,,,,,,,,
1317002040,,,,,,,,,,,,,,,,,
1317002044,,,,,,,,,,,,,,,,,
1317002048,,,,,,,,,,,,,,,,,
1317002052,,,,,,,,,,,,,,,,,
1317002056,,,,,,,,,,,,,,,,,
1317002060,,,,,,,,,,,,,,,,,
1317002064,,,,,,,,,,,,,,,,,
1317002068,,,,,,,,,,,,,,,,,
1317002072,,,,,,,,,,,,,,,,,
1317002076,,,,,,,,,,,,,,,,,
1317002080,,,,,,,,,,,,,,,,,
1317002084,,,,,,,,,,,,,,,,,
1317002088,,,,,,,,,,,,,,,,,
1317002092,,,,,,,,,,,,,,,,,
1317002096,,,,,,,,,,,,,,,,,
1317002100,,,,,,,,,,,,,,,,,
1317002104,,,,,,,,,,,,,,,,,
1317002108,,,,,,,,,,,,,,,,,
1317002112,,,,,,,,,,,,,,,,,
1317002116,,,,,,,,,,,,,,,,,
1317002120,,,,,,,,,,,,,,,,,
1317002124,,,,,,,,,,,,,,,,,
1317002128,,,,,,,,,,,,,,,,,
1317002132,,,,,,,,,,,,,,,,,
1317002136,,,,,,,,,,,,,,,,,
1317002140,,,,,,,,,,,,,,,,,
1317002144,,,,,,,,,,,,,,,,,
1317002148,,,,,,,,,,,,,,,,,
1317002152,,,,,,,,,,,,,,,,,
1317002156,,,,,,,,,,,,,,,,,
1317002160,,,,,,,,,,,,,,,,,
1317002164,,,,,,,,,,,,,,,,,
1317002168,,,,,,,,,,,,,,,,,
1317002172,,,,,,,,,,,,,,,,,
1317002176,,,,,,,,,,,,,,,,,
1317002180,,,,,,,,,,,,,,,,,
1317002184,,,,,,,,,,,,,,,,,
1317002188,,,,,,,,,,,,,,,,,
1317002192,,,,,,,,,,,,,,,,,
1317002196,,,,,,,,,,,,,,,,,
1317002200,,,,,,,,,,,,,,,,,
1317002204,,,,,,,,,,,,,,,,,
1317002208,,,,,,,,,,,,,,,,,
1317002212,,,,,,,,,,,,,,,,,
1317002216,,,,,,,,,,,,,,,,,
1317002220,,,,,,,,,,,,,,,,,
1317002224,,,,,,,,,,,,,,,,,
1317002228,,,,,,,,,,,,,,,,,
1317002232,,,,,,,,,,,,,,,,,
1317002236,,,,,,,,,,,,,,,,,
1317002240,,,,,,,,,,,,,,,,,
1317002244,,,,,,,,,,,,,,,,,
1317002248,,,,,,,,,,,,,,,,,
1317002252,,,,,,,,,,,,,,,,,
1317002256,,,,,,,,,,,,,,,,,
1317002260,,,,,,,,,,,,,,,,,
1317002264,,,,,,,,,,,,,,,,,
1317002268,,,,,,,,,,,,,,,,,
1317002272,,,,,,,,,,,,,,,,,
1317002276,,,,,,,,,,,,,,,,,
1317002280,,,,,,,,,,,,,,,,,
1317002284,,,,,,,,,,,,,,,,,
1317002288,,,,,,,,,,,,,,,,,
1317002292,,,,,,,,,,,,,,,,,
1317002296,,,,,,,,,,,,,,,,,
1317002300,,,,,,,,,,,,,,,,,
1317002304,,,,,,,,,,,,,,,,,
1317002308,,,,,,,,,,,,,,,,,